lat,lon,alt,date,device,os,version
37.6075744629,127.058570862,0,2012-03-26 06:47:28,"iPhone2,1",4.2.1,1.0
37.6022796631,127.058486938,0,2012-03-26 06:47:28,"iPhone2,1",4.2.1,1.0
37.6075744629,127.058570862,0,2012-03-26 06:47:28,"iPhone4,1",7.0.2,1.1
37.6022796631,127.058486938,0,2012-03-26 06:47:28,"iPhone4,1",7.0.2,1.1
37.6024398804,127.05847168,0,2012-03-26 06:58:08,"iPhone2,1",4.2.1,1.0
37.6024398804,127.05847168,0,2012-03-26 06:58:08,"iPhone4,1",7.0.2,1.1
37.6075744629,127.058570862,0,2012-03-26 07:04:32,"iPhone2,1",4.2.1,1.0
37.602558136,127.058349609,0,2012-03-26 07:04:32,"iPhone2,1",4.2.1,1.0
37.6025085449,127.058372498,0,2012-03-26 07:04:32,"iPhone2,1",4.2.1,1.0
37.6075744629,127.058570862,0,2012-03-26 07:04:32,"iPhone4,1",7.0.2,1.1
37.602558136,127.058349609,0,2012-03-26 07:04:32,"iPhone4,1",7.0.2,1.1
37.6025085449,127.058372498,0,2012-03-26 07:04:32,"iPhone4,1",7.0.2,1.1
37.6084213257,127.030700684,0,2012-03-26 08:14:56,"iPhone2,1",4.2.1,1.0
37.6007804871,127.017295837,0,2012-03-26 08:14:56,"iPhone2,1",4.2.1,1.0
37.6084213257,127.030700684,0,2012-03-26 08:14:56,"iPhone4,1",7.0.2,1.1
37.6007804871,127.017295837,0,2012-03-26 08:14:56,"iPhone4,1",7.0.2,1.1
37.6088943481,127.004142761,0,2012-03-26 08:17:04,"iPhone2,1",4.2.1,1.0
37.6089134216,126.987121582,0,2012-03-26 08:17:04,"iPhone2,1",4.2.1,1.0
37.6088943481,127.004142761,0,2012-03-26 08:17:04,"iPhone4,1",7.0.2,1.1
37.6089134216,126.987121582,0,2012-03-26 08:17:04,"iPhone4,1",7.0.2,1.1
37.5985450745,126.95362854,0,2012-03-26 08:21:20,"iPhone2,1",4.2.1,1.0
37.5908851624,126.940681458,0,2012-03-26 08:21:20,"iPhone2,1",4.2.1,1.0
37.5985450745,126.95362854,0,2012-03-26 08:21:20,"iPhone4,1",7.0.2,1.1
37.5908851624,126.940681458,0,2012-03-26 08:21:20,"iPhone4,1",7.0.2,1.1
37.576915741,126.931907654,0,2012-03-26 08:23:28,"iPhone2,1",4.2.1,1.0
37.576915741,126.931907654,0,2012-03-26 08:23:28,"iPhone4,1",7.0.2,1.1
37.5684127808,126.914855957,0,2012-03-26 08:25:36,"iPhone2,1",4.2.1,1.0
37.5684127808,126.914855957,0,2012-03-26 08:25:36,"iPhone4,1",7.0.2,1.1
37.5616111755,126.895759583,0,2012-03-26 08:27:44,"iPhone2,1",4.2.1,1.0
37.5458183289,126.905197144,0,2012-03-26 08:27:44,"iPhone2,1",4.2.1,1.0
37.5616111755,126.895759583,0,2012-03-26 08:27:44,"iPhone4,1",7.0.2,1.1
37.5458183289,126.905197144,0,2012-03-26 08:27:44,"iPhone4,1",7.0.2,1.1
37.5518493652,126.919380188,0,2012-03-26 08:32:00,"iPhone2,1",4.2.1,1.0
37.5518493652,126.919380188,0,2012-03-26 08:32:00,"iPhone4,1",7.0.2,1.1
37.5201950073,126.914085388,0,2012-03-26 16:19:12,"iPhone2,1",4.2.1,1.0
37.5201950073,126.914085388,0,2012-03-26 16:19:12,"iPhone4,1",7.0.2,1.1
37.5187416077,126.935905457,0,2012-03-26 16:21:20,"iPhone2,1",4.2.1,1.0
37.5229148865,126.95488739,0,2012-03-26 16:21:20,"iPhone2,1",4.2.1,1.0
37.5187416077,126.935905457,0,2012-03-26 16:21:20,"iPhone4,1",7.0.2,1.1
37.5229148865,126.95488739,0,2012-03-26 16:21:20,"iPhone4,1",7.0.2,1.1
37.5099983215,126.953086853,0,2012-03-26 16:23:28,"iPhone2,1",4.2.1,1.0
37.5099983215,126.953086853,0,2012-03-26 16:23:28,"iPhone4,1",7.0.2,1.1
37.5006790161,126.940841675,0,2012-03-26 16:25:36,"iPhone2,1",4.2.1,1.0
37.5006790161,126.940841675,0,2012-03-26 16:25:36,"iPhone4,1",7.0.2,1.1
37.5024986267,126.946479797,0,2012-03-26 16:59:44,"iPhone2,1",4.2.1,1.0
37.5024986267,126.946479797,0,2012-03-26 16:59:44,"iPhone4,1",7.0.2,1.1
37.5030822754,126.945983887,0,2012-03-27 02:37:52,"iPhone2,1",4.2.1,1.0
37.5035247803,126.94304657,0,2012-03-27 02:37:52,"iPhone2,1",4.2.1,1.0
37.5031929016,126.942687988,0,2012-03-27 02:37:52,"iPhone2,1",4.2.1,1.0
37.5030822754,126.945983887,0,2012-03-27 02:37:52,"iPhone4,1",7.0.2,1.1
37.5035247803,126.94304657,0,2012-03-27 02:37:52,"iPhone4,1",7.0.2,1.1
37.5031929016,126.942687988,0,2012-03-27 02:37:52,"iPhone4,1",7.0.2,1.1
37.509765625,126.952926636,0,2012-03-27 04:35:12,"iPhone2,1",4.2.1,1.0
37.509765625,126.952926636,0,2012-03-27 04:35:12,"iPhone4,1",7.0.2,1.1
37.5231246948,126.955375671,0,2012-03-27 04:37:20,"iPhone2,1",4.2.1,1.0
37.5231246948,126.955375671,0,2012-03-27 04:37:20,"iPhone4,1",7.0.2,1.1
37.5365791321,126.942253113,0,2012-03-27 04:39:28,"iPhone2,1",4.2.1,1.0
37.5365791321,126.942253113,0,2012-03-27 04:39:28,"iPhone4,1",7.0.2,1.1
37.5458106995,126.922988892,0,2012-03-27 04:41:36,"iPhone2,1",4.2.1,1.0
37.5458106995,126.922988892,0,2012-03-27 04:41:36,"iPhone4,1",7.0.2,1.1
37.5504570007,126.917869568,0,2012-03-27 06:49:36,"iPhone2,1",4.2.1,1.0
37.5504570007,126.917869568,0,2012-03-27 06:49:36,"iPhone4,1",7.0.2,1.1
37.5548324585,126.937423706,0,2012-03-27 09:59:28,"iPhone2,1",4.2.1,1.0
37.5548324585,126.937423706,0,2012-03-27 09:59:28,"iPhone4,1",7.0.2,1.1
37.5556297302,126.959068298,0,2012-03-27 10:03:44,"iPhone2,1",4.2.1,1.0
37.5556297302,126.959068298,0,2012-03-27 10:03:44,"iPhone4,1",7.0.2,1.1
37.5633583069,126.983467102,0,2012-03-27 10:08:00,"iPhone2,1",4.2.1,1.0
37.5633583069,126.983467102,0,2012-03-27 10:08:00,"iPhone4,1",7.0.2,1.1
37.5634078979,127.004455566,0,2012-03-27 10:14:24,"iPhone2,1",4.2.1,1.0
37.5634078979,127.004455566,0,2012-03-27 10:14:24,"iPhone4,1",7.0.2,1.1
37.5638275146,126.987571716,0,2012-03-27 13:24:16,"iPhone2,1",4.2.1,1.0
37.5638275146,126.987571716,0,2012-03-27 13:24:16,"iPhone4,1",7.0.2,1.1
37.5726547241,126.974685669,0,2012-03-27 13:37:04,"iPhone2,1",4.2.1,1.0
37.5726547241,126.974685669,0,2012-03-27 13:37:04,"iPhone4,1",7.0.2,1.1
37.5635604858,126.9610672,0,2012-03-27 13:39:12,"iPhone2,1",4.2.1,1.0
37.5635604858,126.9610672,0,2012-03-27 13:39:12,"iPhone4,1",7.0.2,1.1
37.5548324585,126.948982239,0,2012-03-27 13:43:28,"iPhone2,1",4.2.1,1.0
37.5548324585,126.948982239,0,2012-03-27 13:43:28,"iPhone4,1",7.0.2,1.1
37.5548324585,126.931999207,0,2012-03-27 13:47:44,"iPhone2,1",4.2.1,1.0
37.5548324585,126.931999207,0,2012-03-27 13:47:44,"iPhone4,1",7.0.2,1.1
37.546005249,126.914710999,0,2012-03-27 17:27:28,"iPhone2,1",4.2.1,1.0
37.546005249,126.914710999,0,2012-03-27 17:27:28,"iPhone4,1",7.0.2,1.1
37.5391960144,126.9008255,0,2012-03-27 17:31:44,"iPhone2,1",4.2.1,1.0
37.5273704529,126.913475037,0,2012-03-27 17:31:44,"iPhone2,1",4.2.1,1.0
37.5391960144,126.9008255,0,2012-03-27 17:31:44,"iPhone4,1",7.0.2,1.1
37.5273704529,126.913475037,0,2012-03-27 17:31:44,"iPhone4,1",7.0.2,1.1
37.5184860229,126.927963257,0,2012-03-27 17:33:52,"iPhone2,1",4.2.1,1.0
37.5184860229,126.927963257,0,2012-03-27 17:33:52,"iPhone4,1",7.0.2,1.1
37.5185127258,126.949272156,0,2012-03-27 17:36:00,"iPhone2,1",4.2.1,1.0
37.5185127258,126.949272156,0,2012-03-27 17:36:00,"iPhone4,1",7.0.2,1.1
37.5033493042,126.949966431,0,2012-03-27 17:38:08,"iPhone2,1",4.2.1,1.0
37.5033493042,126.949966431,0,2012-03-27 17:38:08,"iPhone4,1",7.0.2,1.1
37.5026893616,126.945526123,0,2012-03-27 18:40:00,"iPhone2,1",4.2.1,1.0
37.5026893616,126.945526123,0,2012-03-27 18:40:00,"iPhone4,1",7.0.2,1.1
37.5231666565,126.954650879,0,2012-03-28 03:07:44,"iPhone2,1",4.2.1,1.0
37.5231666565,126.954650879,0,2012-03-28 03:07:44,"iPhone4,1",7.0.2,1.1
37.5187797546,126.965255737,0,2012-03-28 03:09:52,"iPhone2,1",4.2.1,1.0
37.5278091431,126.951316833,0,2012-03-28 03:09:52,"iPhone2,1",4.2.1,1.0
37.5187797546,126.965255737,0,2012-03-28 03:09:52,"iPhone4,1",7.0.2,1.1
37.5278091431,126.951316833,0,2012-03-28 03:09:52,"iPhone4,1",7.0.2,1.1
37.5384025574,126.938079834,0,2012-03-28 03:12:00,"iPhone2,1",4.2.1,1.0
37.5384025574,126.938079834,0,2012-03-28 03:12:00,"iPhone4,1",7.0.2,1.1
37.5456352234,126.924209595,0,2012-03-28 03:14:08,"iPhone2,1",4.2.1,1.0
37.5456352234,126.924209595,0,2012-03-28 03:14:08,"iPhone4,1",7.0.2,1.1
37.5535774231,126.923019409,0,2012-03-28 08:27:44,"iPhone2,1",4.2.1,1.0
37.5535774231,126.923019409,0,2012-03-28 08:27:44,"iPhone4,1",7.0.2,1.1
37.5504264832,126.925842285,0,2012-03-28 10:18:40,"iPhone2,1",4.2.1,1.0
37.5504264832,126.925842285,0,2012-03-28 10:18:40,"iPhone4,1",7.0.2,1.1
37.5454559326,126.908004761,0,2012-03-28 16:08:32,"iPhone2,1",4.2.1,1.0
37.5454559326,126.908004761,0,2012-03-28 16:08:32,"iPhone4,1",7.0.2,1.1
37.5368041992,126.896072388,0,2012-03-28 16:10:40,"iPhone2,1",4.2.1,1.0
37.5368041992,126.896072388,0,2012-03-28 16:10:40,"iPhone4,1",7.0.2,1.1
37.5187797546,126.922142029,0,2012-03-28 16:12:48,"iPhone2,1",4.2.1,1.0
37.5190696716,126.942138672,0,2012-03-28 16:12:48,"iPhone2,1",4.2.1,1.0
37.5187797546,126.922142029,0,2012-03-28 16:12:48,"iPhone4,1",7.0.2,1.1
37.5190696716,126.942138672,0,2012-03-28 16:12:48,"iPhone4,1",7.0.2,1.1
37.509765625,126.953170776,0,2012-03-28 16:14:56,"iPhone2,1",4.2.1,1.0
37.509765625,126.953170776,0,2012-03-28 16:14:56,"iPhone4,1",7.0.2,1.1
37.5008964539,126.940750122,0,2012-03-28 16:19:12,"iPhone2,1",4.2.1,1.0
37.5008964539,126.940750122,0,2012-03-28 16:19:12,"iPhone4,1",7.0.2,1.1
37.509765625,126.953308105,0,2012-03-29 03:07:44,"iPhone2,1",4.2.1,1.0
37.5235404968,126.955368042,0,2012-03-29 03:07:44,"iPhone2,1",4.2.1,1.0
37.509765625,126.953308105,0,2012-03-29 03:07:44,"iPhone4,1",7.0.2,1.1
37.5235404968,126.955368042,0,2012-03-29 03:07:44,"iPhone4,1",7.0.2,1.1
37.5365257263,126.942314148,0,2012-03-29 03:12:00,"iPhone2,1",4.2.1,1.0
37.5365257263,126.942314148,0,2012-03-29 03:12:00,"iPhone4,1",7.0.2,1.1
37.5456924438,126.930870056,0,2012-03-29 03:14:08,"iPhone2,1",4.2.1,1.0
37.5456924438,126.930870056,0,2012-03-29 03:14:08,"iPhone4,1",7.0.2,1.1
37.546043396,126.914741516,0,2012-03-29 04:09:36,"iPhone2,1",4.2.1,1.0
37.546043396,126.914741516,0,2012-03-29 04:09:36,"iPhone4,1",7.0.2,1.1
37.5502967834,126.917961121,0,2012-03-29 07:10:56,"iPhone2,1",4.2.1,1.0
37.5502967834,126.917961121,0,2012-03-29 07:10:56,"iPhone4,1",7.0.2,1.1
37.5416717529,126.902297974,0,2012-03-29 16:29:52,"iPhone2,1",4.2.1,1.0
37.5416717529,126.902297974,0,2012-03-29 16:29:52,"iPhone4,1",7.0.2,1.1
37.5295372009,126.90977478,0,2012-03-29 16:32:00,"iPhone2,1",4.2.1,1.0
37.5295372009,126.90977478,0,2012-03-29 16:32:00,"iPhone4,1",7.0.2,1.1
37.5187797546,126.922187805,0,2012-03-29 16:34:08,"iPhone2,1",4.2.1,1.0
37.5190696716,126.942138672,0,2012-03-29 16:34:08,"iPhone2,1",4.2.1,1.0
37.5187797546,126.922187805,0,2012-03-29 16:34:08,"iPhone4,1",7.0.2,1.1
37.5190696716,126.942138672,0,2012-03-29 16:34:08,"iPhone4,1",7.0.2,1.1
